0
4,211498,0,0,0,0,0,0,0,0,0,0
3,584361,0,0,0,0,0,0,0,0,0,0
26,32689,0,0,0,0,0,0,0,0,0,0
28,3.12036e+06,0,0,0,0,0,0,0,0,0,0
20,208711,0,0,0,0,0,0,0,0,0,0
15,106317,0,0,0,0,0,0,0,0,0,0
21,129752,0,0,0,0,0,0,0,0,0,0
29,619087,0,0,0,0,0,0,0,0,0,0
17,424830,0,0,0,0,0,0,0,0,0,0
31,599589,0,0,0,0,0,0,0,0,0,0
25,114081,0,0,0,0,0,0,0,0,0,0
24,87675,0,0,0,0,0,0,0,0,0,0
22,1.05466e+06,0,0,0,0,0,0,0,0,0,0
13,188937,0,0,0,0,0,0,0,0,0,0
9,311908,0,0,0,0,0,0,0,0,0,0
6,149960,0,0,0,0,0,0,0,0,0,0
34,114434,0,0,0,0,0,0,0,0,0,0
30,168493,0,0,0,0,0,0,0,0,0,0
5,592163,0,0,0,0,0,0,0,0,0,0
7,1.60595e+06,0,0,0,0,0,0,0,0,0,0
19,169884,0,0,0,0,0,0,0,0,0,0
2,139757,0,0,0,0,0,0,0,0,0,0
1,1.2258e+06,0,0,0,0,0,0,0,0,0,0
18,147977,0,0,0,0,0,0,0,0,0,0
33,83441,0,0,0,0,0,0,0,0,0,0
16,212719,0,0,0,0,0,0,0,0,0,0
32,712402,0,0,0,0,0,0,0,0,0,0
8,130964,0,0,0,0,0,0,0,0,0,0
12,199023,0,0,0,0,0,0,0,0,0,0
23,173170,0,0,0,0,0,0,0,0,0,0
11,507524,0,0,0,0,0,0,0,0,0,0
10,155203,0,0,0,0,0,0,0,0,0,0
14,472485,0,0,0,0,0,0,0,0,0,0
27,108631,0,0,0,0,0,0,0,0,0,0
1
4,211498,0.82655,0,0.17345,0,0,0,0,0,0,0
3,584361,0.82655,0,0.17345,0,0,0,0,0,0,0
26,32689,0.82655,0,0.17345,0,0,0,0,0,0,0
28,3.12036e+06,0.82655,5.99972e-07,0.17345,0,0,0,0,0,0,0
20,208711,0.82655,0,0.17345,0,0,0,0,0,0,0
15,106317,0.82655,0,0.17345,0,0,0,0,0,0,0
21,129752,0.82655,0,0.17345,0,0,0,0,0,0,0
29,619087,0.82655,0,0.17345,0,0,0,0,0,0,0
17,424830,0.82655,4.99977e-07,0.17345,0,0,0,0,0,0,0
31,599589,0.82655,0,0.17345,0,0,0,0,0,0,0
25,114081,0.82655,0,0.17345,0,0,0,0,0,0,0
24,87675,0.82655,0,0.17345,0,0,0,0,0,0,0
22,1.05466e+06,0.82655,2.99986e-07,0.17345,0,0,0,0,0,0,0
13,188937,0.82655,0,0.17345,0,0,0,0,0,0,0
9,311908,0.82655,0,0.17345,0,0,0,0,0,0,0
6,149960,0.82655,0,0.17345,0,0,0,0,0,0,0
34,114434,0.82655,0,0.17345,0,0,0,0,0,0,0
30,168493,0.82655,0,0.17345,0,0,0,0,0,0,0
5,592163,0.82655,0,0.17345,0,0,0,0,0,0,0
7,1.60595e+06,0.82655,0,0.17345,0,0,0,0,0,0,0
19,169884,0.82655,0,0.17345,0,0,0,0,0,0,0
2,139757,0.82655,0,0.17345,0,0,0,0,0,0,0
1,1.2258e+06,0.82655,0,0.17345,0,0,0,0,0,0,0
18,147977,0.82655,0,0.17345,0,0,0,0,0,0,0
33,83441,0.82655,0,0.17345,0,0,0,0,0,0,0
16,212719,0.82655,0,0.17345,0,0,0,0,0,0,0
32,712402,0.82655,0,0.17345,0,0,0,0,0,0,0
8,130964,0.82655,0,0.17345,0,0,0,0,0,0,0
12,199023,0.82655,0,0.17345,0,0,0,0,0,0,0
23,173170,0.82655,0,0.17345,0,0,0,0,0,0,0
11,507524,0.82655,0,0.17345,0,0,0,0,0,0,0
10,155203,0.82655,0,0.17345,0,0,0,0,0,0,0
14,472485,0.82655,0,0.17345,0,0,0,0,0,0,0
27,108631,0.82655,0,0.17345,0,0,0,0,0,0,0
2
4,211498,0.686447,0,0.313553,0,0,0,0,0,0,0
